order_year,order_month,total_orders,total_products,total_revenue,total_freight,total_sales
2016,9,3,6,267.36,87.39,354.75
2016,10,308,363,49507.66,7301.18,56808.840000000004
2016,12,1,1,10.9,8.72,19.62
2017,1,789,955,120312.87,16875.62,137188.49
2017,2,1733,1951,247303.02,38977.6,286280.62
2017,3,2641,3000,374344.3,57704.29,432048.58999999997
2017,4,2391,2684,359927.23,52495.01,412422.24
2017,5,3660,4136,506071.14,80119.81,586190.95
2017,6,3217,3583,433038.6,69924.44,502963.04
2017,7,3969,4519,498031.48,86940.14,584971.62
2017,8,4293,4910,573971.68,94232.92,668204.6000000001
2017,9,4243,4831,624401.6900000001,95997.22,720398.91
2017,10,4568,5322,664219.43,105092.94,769312.3700000001
2017,11,7451,8665,1010271.37,168872.4,1179143.77
2017,12,5624,6308,743914.17,119633.06,863547.23
2018,1,7220,8208,950030.36,157271.53,1107301.89
2018,2,6694,7672,844178.71,142730.25,986908.96
2018,3,7188,8217,983213.4400000001,171913.38,1155126.82
2018,4,6934,7975,996647.75,163050.29,1159698.04
2018,5,6853,7925,996517.68,153264.14,1149781.82
2018,6,6160,7078,865124.31,157552.8,1022677.1100000001
2018,7,6273,7092,895507.22,163220.81,1058728.03
2018,8,6452,7248,854686.33,148622.14,1003308.47
2018,9,1,1,145.0,21.46,166.46
