antecedent,antecedent_categories,consequent,consequent_categories,antecedent_support,consequent_support,support,support_count,confidence,lift
55bfa0307d7a46bed72c492259921231;e2cac69b319c0f8a21dbf04b925121bf,books_general_interest;books_general_interest,b9900407a55cb2b306ae612415c3340e,books_general_interest,3e-05,6.1e-05,3e-05,3,1.0,16444.33
b9900407a55cb2b306ae612415c3340e;e2cac69b319c0f8a21dbf04b925121bf,books_general_interest;books_general_interest,55bfa0307d7a46bed72c492259921231,books_general_interest,3e-05,6.1e-05,3e-05,3,1.0,16444.33
55bfa0307d7a46bed72c492259921231,books_general_interest,b9900407a55cb2b306ae612415c3340e;e2cac69b319c0f8a21dbf04b925121bf,books_general_interest;books_general_interest,6.1e-05,3e-05,3e-05,3,0.5,16444.33
b9900407a55cb2b306ae612415c3340e,books_general_interest,55bfa0307d7a46bed72c492259921231;e2cac69b319c0f8a21dbf04b925121bf,books_general_interest;books_general_interest,6.1e-05,3e-05,3e-05,3,0.5,16444.33
7eaf66aca1ed54df09b3c864b7416110,costruction_tools_garden,fc5dd987f12a7b823a76a44aa1ba88f6,unknown,4.1e-05,5.1e-05,3e-05,3,0.75,14799.9
fc5dd987f12a7b823a76a44aa1ba88f6,unknown,7eaf66aca1ed54df09b3c864b7416110,costruction_tools_garden,5.1e-05,4.1e-05,3e-05,3,0.6,14799.9
55bfa0307d7a46bed72c492259921231;b9900407a55cb2b306ae612415c3340e,books_general_interest;books_general_interest,e2cac69b319c0f8a21dbf04b925121bf,books_general_interest,3e-05,7.1e-05,3e-05,3,1.0,14095.14
e2cac69b319c0f8a21dbf04b925121bf,books_general_interest,55bfa0307d7a46bed72c492259921231;b9900407a55cb2b306ae612415c3340e,books_general_interest;books_general_interest,7.1e-05,3e-05,3e-05,3,0.4286,14095.14
07ffc018eaf23e086370dea42c74077b,costruction_tools_garden,fc5dd987f12a7b823a76a44aa1ba88f6,unknown,5.1e-05,5.1e-05,3e-05,3,0.6,11839.92
fc5dd987f12a7b823a76a44aa1ba88f6,unknown,07ffc018eaf23e086370dea42c74077b,costruction_tools_garden,5.1e-05,5.1e-05,3e-05,3,0.6,11839.92
0cfc9fea40ee0f7006d150fbdf3fa808,books_general_interest,480be8d20c4b6a7df1eae0f2c17f2db2,books_general_interest,3e-05,9.1e-05,3e-05,3,1.0,10962.89
480be8d20c4b6a7df1eae0f2c17f2db2,books_general_interest,0cfc9fea40ee0f7006d150fbdf3fa808,books_general_interest,9.1e-05,3e-05,3e-05,3,0.3333,10962.89
55bfa0307d7a46bed72c492259921231,books_general_interest,b9900407a55cb2b306ae612415c3340e,books_general_interest,6.1e-05,6.1e-05,3e-05,3,0.5,8222.17
b9900407a55cb2b306ae612415c3340e,books_general_interest,55bfa0307d7a46bed72c492259921231,books_general_interest,6.1e-05,6.1e-05,3e-05,3,0.5,8222.17
ad4b5def91ac7c575dbdf65b5be311f4,computers_accessories,e6b314a2236c162ede1a879f1075430f,computers_accessories,9.1e-05,9.1e-05,6.1e-05,6,0.6667,7308.59
e6b314a2236c162ede1a879f1075430f,computers_accessories,ad4b5def91ac7c575dbdf65b5be311f4,computers_accessories,9.1e-05,9.1e-05,6.1e-05,6,0.6667,7308.59
55bfa0307d7a46bed72c492259921231,books_general_interest,e2cac69b319c0f8a21dbf04b925121bf,books_general_interest,6.1e-05,7.1e-05,3e-05,3,0.5,7047.57
b9900407a55cb2b306ae612415c3340e,books_general_interest,e2cac69b319c0f8a21dbf04b925121bf,books_general_interest,6.1e-05,7.1e-05,3e-05,3,0.5,7047.57
e2cac69b319c0f8a21dbf04b925121bf,books_general_interest,55bfa0307d7a46bed72c492259921231,books_general_interest,7.1e-05,6.1e-05,3e-05,3,0.4286,7047.57
e2cac69b319c0f8a21dbf04b925121bf,books_general_interest,b9900407a55cb2b306ae612415c3340e,books_general_interest,7.1e-05,6.1e-05,3e-05,3,0.4286,7047.57
a2a91fe6d8762e0371abd964cef88ec6,housewares,100260bf9206d859dc8db128c8c5afc9,housewares,5.1e-05,9.1e-05,3e-05,3,0.6,6577.73
100260bf9206d859dc8db128c8c5afc9,housewares,a2a91fe6d8762e0371abd964cef88ec6,housewares,9.1e-05,5.1e-05,3e-05,3,0.3333,6577.73
3ce943997ff85cad84ec6770b35d6bcd,computers_accessories,b7d94dc0640c7025dc8e3b46b52d8239,computers_accessories,8.1e-05,0.000101,5.1e-05,5,0.625,6166.62
b7d94dc0640c7025dc8e3b46b52d8239,computers_accessories,3ce943997ff85cad84ec6770b35d6bcd,computers_accessories,0.000101,8.1e-05,5.1e-05,5,0.5,6166.62
e256d05115f9eb3766f3ab752132a4e2,computers_accessories,1dc7685f4fdb9622d84ae2ec658d5bbf,computers_accessories,8.1e-05,9.1e-05,4.1e-05,4,0.5,5481.44
1dc7685f4fdb9622d84ae2ec658d5bbf,computers_accessories,e256d05115f9eb3766f3ab752132a4e2,computers_accessories,9.1e-05,8.1e-05,4.1e-05,4,0.4444,5481.44
5bd7e57735a44e529bf066fee83a9c60,bed_bath_table,8b51c6ccc9c0548c951214e1cd1547ff,bed_bath_table,6.1e-05,0.000142,3e-05,3,0.5,3523.79
8b51c6ccc9c0548c951214e1cd1547ff,bed_bath_table,5bd7e57735a44e529bf066fee83a9c60,bed_bath_table,0.000142,6.1e-05,3e-05,3,0.2143,3523.79
0be487faac01dd57fd7ed17cfbdf2dee,bed_bath_table,4d272fe20c57c64dc74b3db191fc31ef,bed_bath_table,5.1e-05,0.000172,3e-05,3,0.6,3482.33
4d272fe20c57c64dc74b3db191fc31ef,bed_bath_table,0be487faac01dd57fd7ed17cfbdf2dee,bed_bath_table,0.000172,5.1e-05,3e-05,3,0.1765,3482.33
ad0a798e7941f3a5a2fb8139cb62ad78,bed_bath_table,946344697156947d846d27fe0d503033,bed_bath_table,0.000122,0.000152,6.1e-05,6,0.5,3288.87
946344697156947d846d27fe0d503033,bed_bath_table,ad0a798e7941f3a5a2fb8139cb62ad78,bed_bath_table,0.000152,0.000122,6.1e-05,6,0.4,3288.87
ff2c1ec09b1bb340e84f0d6b21cc7dbb,bed_bath_table,b0c89945c034268074f5f80b362bda34,bed_bath_table,6.1e-05,0.000162,3e-05,3,0.5,3083.31
fb29f48bfea41db52e349454f433340e,computers_accessories,6d2fde7d12bb6ff367dbda120ba8828e,computers_accessories,8.1e-05,0.000122,3e-05,3,0.375,3083.31
6d2fde7d12bb6ff367dbda120ba8828e,computers_accessories,fb29f48bfea41db52e349454f433340e,computers_accessories,0.000122,8.1e-05,3e-05,3,0.25,3083.31
b0c89945c034268074f5f80b362bda34,bed_bath_table,ff2c1ec09b1bb340e84f0d6b21cc7dbb,bed_bath_table,0.000162,6.1e-05,3e-05,3,0.1875,3083.31
5d790355cbeded0cd60e25cbc4c527a2,computers_accessories,5fc3e6a4b52b0c414458104ed4037f1c,computers_accessories,0.000162,0.000193,6.1e-05,6,0.375,1947.36
5fc3e6a4b52b0c414458104ed4037f1c,computers_accessories,5d790355cbeded0cd60e25cbc4c527a2,computers_accessories,0.000193,0.000162,6.1e-05,6,0.3158,1947.36
6e423c2d28bfb207e1fd1d6e1df84721,perfumery,fbc1488c1a1e72ba175f53ab29a248e8,perfumery,3e-05,0.000557,3e-05,3,1.0,1793.93
ad0a798e7941f3a5a2fb8139cb62ad78,bed_bath_table,b0c89945c034268074f5f80b362bda34,bed_bath_table,0.000122,0.000162,3e-05,3,0.25,1541.66
b0c89945c034268074f5f80b362bda34,bed_bath_table,ad0a798e7941f3a5a2fb8139cb62ad78,bed_bath_table,0.000162,0.000122,3e-05,3,0.1875,1541.66
1427b126f61597524866770b05d4eed2,computers_accessories,5526b1ae9ab2688cf600783cece249df,computers_accessories,0.000142,0.000223,4.1e-05,4,0.2857,1281.38
3cc4b421c1f28dd22e86fc4aaafb600e,bed_bath_table,42a2bd596fda1baef5719cb74f73030c,bed_bath_table,0.000111,0.000213,3e-05,3,0.2727,1281.38
5526b1ae9ab2688cf600783cece249df,computers_accessories,1427b126f61597524866770b05d4eed2,computers_accessories,0.000223,0.000142,4.1e-05,4,0.1818,1281.38
42a2bd596fda1baef5719cb74f73030c,bed_bath_table,3cc4b421c1f28dd22e86fc4aaafb600e,bed_bath_table,0.000213,0.000111,3e-05,3,0.1429,1281.38
946344697156947d846d27fe0d503033,bed_bath_table,b0c89945c034268074f5f80b362bda34,bed_bath_table,0.000152,0.000162,3e-05,3,0.2,1233.33
