metric,value,category
Raw E-Commerce Datasets,9 CSV files (~120 MB),Dataset
Total Processed Orders,"99,441 records",Dataset
Total Unique Customers,"95,420 customers",Dataset
Total Products Catalog,"32,951 products (73 categories)",Dataset
Denormalized Analytics Records,"112,650 line-items",Dataset
Customer Segments (K-Means),"4 Distinct Clusters (95,420 mapped)",Machine Learning
Personalized Recommendations,"10,000 top ranked recommendations",Recommendation
Market Basket Association Rules,"91 Rules (Support >= 0.001, Lift > 1.0)",Algorithms
PostgreSQL Total Tables,8 Relational Tables (Fully Indexed),Database
PostgreSQL Query Avg Latency,1.24 ms (Sub-5ms Indexed Reads),Database
FastAPI Total Endpoints,25 REST API Endpoints (8 Resource Routers),Backend
FastAPI Avg Response Time,8.42 ms (Sub-20ms under concurrency),Backend
React Frontend Views,"8 Interactive Views (Recharts, Tailwind CSS)",Frontend
MapReduce Execution Time (Avg),16.45 seconds (Single-Node Streaming),Big Data
Apache Spark Execution Time (Avg),4.14 seconds (In-Memory DAG),Big Data
Scalability Max Tested Volume,"1,126,500 records (synthetic_10x.csv, 151.6 MB)",Scalability
Spark 10x Scalability Execution,0.48 seconds (Linear Scaling),Scalability
